fid,Layer,PaperSpace,SubClasses,Linetype,EntityHandle,Text
1,BOR,,AcDbEntity:AcDbLine,,"68",
2,BOR,,AcDbEntity:AcDbLine,,"69",
3,BOR,,AcDbEntity:AcDbLine,,6A,
4,BOR,,AcDbEntity:AcDbLine,,6B,
5,BOR,,AcDbEntity:AcDbLine,,6C,
6,BOR,,AcDbEntity:AcDbLine,,6D,
7,BOR,,AcDbEntity:AcDbLine,,6E,
8,"0",,AcDbEntity:AcDbLine,ByBlock,6F,
9,"0",,AcDbEntity:AcDbLine,ByBlock,"70",
10,"0",,AcDbEntity:AcDbLine,ByBlock,"71",
11,BOR,,AcDbEntity:AcDbLine,,"72",
12,"0",,AcDbEntity:AcDbLine,ByBlock,"73",
13,"0",,AcDbEntity:AcDbLine,ByBlock,"74",
14,"0",,AcDbEntity:AcDbLine,ByBlock,"75",
15,Plot,,AcDbEntity:AcDbLine,,"76",
16,"0",,AcDbEntity:AcDbLine,ByBlock,7A,
17,"0",,AcDbEntity:AcDbLine,ByBlock,7B,
18,"0",,AcDbEntity:AcDbLine,ByBlock,7C,
19,"0",,AcDbEntity:AcDbLine,ByBlock,7D,
20,Plot,,AcDbEntity:AcDbLine,,7E,
21,Plot,,AcDbEntity:AcDbLine,,7F,
22,Plot,,AcDbEntity:AcDbLine,,"80",
23,Plot,,AcDbEntity:AcDbLine,,"81",
24,Plot,,AcDbEntity:AcDbLine,,"82",
25,Plot,,AcDbEntity:AcDbLine,,"83",
26,"0",,AcDbEntity:AcDbLine,ByBlock,"84",
27,"0",,AcDbEntity:AcDbLine,ByBlock,"85",
28,Plot,,AcDbEntity:AcDbLine,,"86",
29,Plot,,AcDbEntity:AcDbLine,,"87",
30,Plot,,AcDbEntity:AcDbLine,,"88",
31,Plot,,AcDbEntity:AcDbLine,,"89",
32,Plot,,AcDbEntity:AcDbLine,,8A,
33,Plot,,AcDbEntity:AcDbLine,,8B,
34,"0",,AcDbEntity:AcDbLine,ByBlock,8C,
35,"0",,AcDbEntity:AcDbLine,ByBlock,8D,
36,Plot,,AcDbEntity:AcDbLine,,8E,
37,Plot,,AcDbEntity:AcDbLine,,8F,
38,Plot,,AcDbEntity:AcDbLine,,"90",
39,Plot,,AcDbEntity:AcDbLine,,"91",
40,Plot,,AcDbEntity:AcDbLine,,"92",
41,Plot,,AcDbEntity:AcDbLine,,"93",
42,"0",,AcDbEntity:AcDbLine,ByBlock,"94",
43,"0",,AcDbEntity:AcDbLine,ByBlock,"95",
44,"0",,AcDbEntity:AcDbLine,ByBlock,"96",
45,"0",,AcDbEntity:AcDbLine,ByBlock,"97",
46,"0",,AcDbEntity:AcDbLine,ByBlock,"98",
47,SUB,,AcDbEntity:AcDbLine,CABLIN,"99",
48,Plot,,AcDbEntity:AcDbLine,,9E,
49,Plot,,AcDbEntity:AcDbLine,,9F,
50,Plot,,AcDbEntity:AcDbLine,,A0,
51,Plot,,AcDbEntity:AcDbLine,,A1,
52,Plot,,AcDbEntity:AcDbLine,,A2,
53,Plot,,AcDbEntity:AcDbLine,,A3,
54,Plot,,AcDbEntity:AcDbLine,,A4,
55,Plot,,AcDbEntity:AcDbLine,,A5,
56,Plot,,AcDbEntity:AcDbLine,,A6,
57,Plot,,AcDbEntity:AcDbLine,,A7,
58,Plot,,AcDbEntity:AcDbLine,,A8,
59,Plot,,AcDbEntity:AcDbLine,,A9,
60,Plot,,AcDbEntity:AcDbLine,,AA,
61,SUB,,AcDbEntity:AcDbPolyline,CABLIN,AF,
62,"0",,AcDbEntity:AcDbPolyline,ByBlock,B0,
63,"0",,AcDbEntity:AcDbPolyline,ByBlock,B1,
64,"0",,AcDbEntity:AcDbPolyline,ByBlock,B2,
65,"0",,AcDbEntity:AcDbPolyline,ByBlock,B3,
66,"0",,AcDbEntity:AcDbPolyline,ByBlock,B4,
67,"0",,AcDbEntity:AcDbPolyline,ByBlock,B5,
68,"0",,AcDbEntity:AcDbPolyline,ByBlock,B6,
69,"0",,AcDbEntity:AcDbLine,ByBlock,B7,
70,"0",,AcDbEntity:AcDbLine,ByBlock,B8,
71,"0",,AcDbEntity:AcDbLine,ByBlock,B9,
72,"0",,AcDbEntity:AcDbLine,ByBlock,BA,
73,"0",,AcDbEntity:AcDbLine,ByBlock,BB,
74,"0",,AcDbEntity:AcDbLine,ByBlock,BC,
75,"0",,AcDbEntity:AcDbLine,ByBlock,BD,
76,"0",,AcDbEntity:AcDbLine,ByBlock,BE,
77,"0",,AcDbEntity:AcDbLine,ByBlock,BF,
